date,cpi_g7
2021-03-01,109.1797
2021-04-01,109.7358
2021-05-01,110.3832
2021-06-01,111.074
2021-07-01,111.5192
2021-08-01,111.7845
2021-09-01,112.0392
2021-10-01,112.7759
2021-11-01,113.2577
2021-12-01,113.5514
2022-01-01,114.334
2022-02-01,115.2836
2022-03-01,116.7446
2022-04-01,117.4643
2022-05-01,118.5725
2022-06-01,119.7473
2022-07-01,119.9468
2022-08-01,120.1147
2022-09-01,120.5211
2022-10-01,121.4237
2022-11-01,121.4913
2022-12-01,121.2619
2023-01-01,122.0225
2023-02-01,122.6198
2023-03-01,123.1103
2023-04-01,123.8181
2023-05-01,124.0839
2023-06-01,124.398
2023-07-01,124.626
2023-08-01,125.1511
2023-09-01,125.409
2023-10-01,125.4941
2023-11-01,125.22
2023-12-01,125.1888
2024-01-01,125.5893
2024-02-01,126.2339
2024-03-01,126.8966
2024-04-01,127.4126
2024-05-01,127.6759
2024-06-01,127.7519
2024-07-01,127.982
2024-08-01,128.1689
2024-09-01,128.1404
2024-10-01,128.4442
2024-11-01,128.436
2024-12-01,128.6377
2025-01-01,129.2197
2025-02-01,129.6599
2025-03-01,129.9919
2025-04-01,130.481
2025-05-01,130.7166
