typeCode;freqCode;refPeriodId;refYear;refMonth;period;reporterCode;reporterISO;reporterDesc;flowCode;flowDesc;partnerCode;partnerISO;partnerDesc;partner2Code;partner2ISO;partner2Desc;classificationCode;classificationSearchCode;isOriginalClassification;cmdCode;cmdDesc;aggrLevel;isLeaf;customsCode;customsDesc;mosCode;motCode;motDesc;qtyUnitCode;qtyUnitAbbr;qty;isQtyEstimated;altQtyUnitCode;altQtyUnitAbbr;altQty;isAltQtyEstimated;netWgt;isNetWgtEstimated;grossWgt;isGrossWgtEstimated;cifvalue;fobvalue;primaryValue;legacyEstimationFlag;isReported;isAggregate;year;IMF_Code
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;530129;"Flax; hackled or otherwise processed, but not spun";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;304.0;False;8;kg;304.0;False;304.0;False;0.0;False;;1194.0;1194.0;0;False;True;2020;PCOTTIND
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;010392;"Swine; live, other than pure-bred breeding animals, weighing 50kg or more";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;5;u;1746.0;False;5;u;1746.0;False;203080.0;False;0.0;False;;2769307.0;2769307.0;0;False;True;2020;PPORK
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;070200;"Vegetables; tomatoes, fresh or chilled";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;4000628.0;False;8;kg;4000628.0;False;4000874.0;False;0.0;False;;1496276.0;1496276.0;0;False;True;2020;PTOMATO
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;520512;"Cotton yarn; (not sewing thread), single, of uncombed fibres, 85% or more by weight of cotton, less than 714.29 but not less than 232.56 decitex (exceeding 14 but not exceeding 43 metric number), not for retail sale";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;1065285.0;False;8;kg;1065285.0;False;1065285.0;False;0.0;False;;2765412.0;2765412.0;0;False;True;2020;PCOTTIND
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;030520;"Fish; livers, roes and milt of fish, dried, smoked, salted or in brine";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;320.602;True;8;kg;320.0;False;320.602;True;0.0;False;;24484.0;24484.0;6;False;True;2020;PSALM
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;310430;"Fertilizers, mineral or chemical; potassic, potassium sulphate";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;264890.0;False;8;kg;264890.0;False;264890.0;False;0.0;False;;292268.0;292268.0;0;False;True;2020;PPOTASH
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;310540;"Fertilizers, mineral or chemical; ammonium dihydrogenorthophosphate (monoammonium phosphate) and mixtures thereof with diammonium hydrogenorthophosphate (diammonium phosphate)";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;5425877.071;True;8;kg;5425275.0;False;5425877.071;True;0.0;False;;2198933.0;2198933.0;6;False;True;2020;PDAP
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;090832;"Spices; cardamoms, crushed or ground";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;606.0;False;8;kg;606.0;False;606.0;False;0.0;False;15749.0;15558.0;15749.0;0;False;True;2020;PSUGAISA
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;520515;"Cotton yarn; (not sewing thread), single, of uncombed fibres, 85% or more by weight of cotton, measuring less than 125 decitex (exceeding 80 metric number), not for retail sale";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;5.0;False;8;kg;5.0;False;5.0;False;0.0;False;367.0;290.0;367.0;0;False;True;2020;PCOTTIND
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;410320;"Hides and skins; raw, of reptiles (fresh or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment-dressed or further prepared), whether or not dehaired or split";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;1184.0;False;5;u;3700.0;False;1184.0;False;0.0;False;162526.0;151280.0;162526.0;0;False;True;2020;PHIDE
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;520543;"Cotton yarn; (not sewing thread), multiple or cabled, of combed fibres, 85% or more by weight of cotton, 232.55 to 192.31 decitex (44 to 52 metric number) per single yarn, not for retail sale";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;233556.0;False;8;kg;233556.0;False;233556.0;False;0.0;False;1175936.0;1156784.0;1175936.0;0;False;True;2020;PCOTTIND
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;200559;"Vegetable preparations; beans, (not shelled), prepared or preserved otherwise than by vinegar or acetic acid, not frozen";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;1364.0;False;8;kg;1364.0;False;1364.0;False;0.0;False;;5085.0;5085.0;0;False;True;2020;PTOMATO
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;030771;"Molluscs; clams, cockles and ark shells (families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae), whether in shell or not, live, fresh or chilled";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;232.0;False;8;kg;232.0;False;232.0;False;0.0;False;4336.0;2756.0;4336.0;0;False;True;2020;PSHRI
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;450190;"Cork; waste cork, crushed, granulated or ground cork";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;114.0;False;8;kg;114.0;False;114.0;False;0.0;False;;3474.0;3474.0;0;False;True;2020;PSAWORE
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;530500;"Coconut, abaca (Manila hemp or Musa textilis Nee), ramie and other vegetable textile fibres n.e.c., raw or processed but not spun; tow, noils and waste of these fibres (including yarn waste and garnetted stock)";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;34434893.0;False;8;kg;34434893.0;False;34432889.0;False;0.0;False;;37596280.0;37596280.0;0;False;True;2020;PPOIL
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;071340;"Vegetables, leguminous; lentils, shelled, whether or not skinned or split, dried";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;53391.0;False;8;kg;53391.0;False;53792.0;False;0.0;False;;100885.0;100885.0;0;False;True;2020;PCHANA
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;020410;"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;7078.0;False;8;kg;7078.0;False;7691.0;False;0.0;False;;72519.0;72519.0;0;False;True;2020;PLAMB
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;090240;"Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;7884.588;True;8;kg;7334.0;False;6637.588;True;0.0;False;;25220.0;25220.0;6;False;True;2020;PTEA
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;260800;Zinc ores and concentrates;6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;137514540.0;False;8;kg;137514540.0;False;137514540.0;False;0.0;False;105609812.0;100497778.0;105609812.0;0;False;True;2020;PZINC
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;150420;"Fats and oils and their fractions; of fish, (excluding liver-oils)";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;3797137.0;False;8;kg;3797137.0;False;3797137.0;False;0.0;False;14076131.0;13643982.0;14076131.0;0;False;True;2020;PSHRI
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;160416;"Fish preparations; anchovies, prepared or preserved, whole or in pieces (but not minced)";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;81131.0;False;8;kg;81131.0;False;81131.0;False;0.0;False;1054407.0;1019218.0;1054407.0;0;False;True;2020;PSALM
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;090611;"Spices; cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;293200.0;False;8;kg;293200.0;False;293200.0;False;0.0;False;1389428.0;1365390.0;1389428.0;0;False;True;2020;PSUGAISA
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;081110;"Fruit, edible; strawberries, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;4894417.0;False;8;kg;4894417.0;False;4894417.0;False;0.0;False;7287090.0;6839010.0;7287090.0;0;False;True;2020;PAPPLE
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;100310;"Cereals; barley, seed";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;13255.727;True;8;kg;12900.0;False;13255.727;True;0.0;False;9465.0;7745.0;9465.0;6;False;True;2020;PBARL
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;200931;"Juice; of single citrus fruit (excluding orange or grapefruit), of a Brix value not exceeding 20, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;10646081.0;False;8;kg;10646081.0;False;10645771.0;False;0.0;False;;9106073.0;9106073.0;0;False;True;2020;PORANG
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;081330;"Fruit, edible; apples, dried";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;6000.0;False;8;kg;6000.0;False;6000.0;False;0.0;False;18641.0;18541.0;18641.0;0;False;True;2020;PAPPLE
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;090411;"Spices; pepper (of the genus piper), neither crushed nor ground";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;11434.0;False;8;kg;11434.0;False;11434.0;False;0.0;False;269874.0;265842.0;269874.0;0;False;True;2020;PSUGAISA
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;030311;"Fish; frozen, Pacific salmon, sockeye salmon (red salmon) (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;10608.0;False;8;kg;10608.0;False;10194.0;False;0.0;False;;92925.0;92925.0;0;False;True;2020;PSALM
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;270111;"Coal; anthracite, whether or not pulverised, but not agglomerated";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;8791.0;False;8;kg;8791.0;False;8791.0;False;0.0;False;;3722.0;3722.0;0;False;True;2020;PCOAL
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;230120;"Flours, meals and pellets; of fish or of crustaceans, molluscs or other aquatic invertebrates";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;22189767.0;False;8;kg;22189767.0;False;22189767.0;False;0.0;False;;20466377.0;20466377.0;0;False;True;2020;PFSHMEAL
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;091099;"Spices; n.e.c. in heading no. 0910";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;1751518.0;False;8;kg;1751518.0;False;1751518.0;False;0.0;False;3521873.0;3412294.0;3521873.0;0;False;True;2020;PSUGAISA
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;080719;"Fruit, edible; melons, other than watermelons, fresh";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;236042034.0;False;8;kg;236042034.0;False;236259339.0;False;0.0;False;;147934586.0;147934586.0;0;False;True;2020;PORANG
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;030229;"Fish; fresh or chilled, flat fish, n.e.c. in item no. 0302.2, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;4621.0;False;8;kg;4621.0;False;4620.0;False;0.0;False;;22885.0;22885.0;0;False;True;2020;PSALM
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;020311;"Meat; of swine, carcasses and half-carcasses, fresh or chilled";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;18797.0;False;8;kg;18797.0;False;18797.0;False;0.0;False;34259.0;33679.0;34259.0;0;False;True;2020;PPORK
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;020752;"Meat and edible offal; of geese, not cut in pieces, frozen";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;171.0;False;8;kg;171.0;False;171.0;False;0.0;False;;1536.0;1536.0;0;False;True;2020;PPOULT
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;080211;"Nuts, edible; almonds, fresh or dried, in shell";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;25972.0;False;8;kg;25972.0;False;25972.0;False;0.0;False;46906.0;43397.0;46906.0;0;False;True;2020;PGNUTS
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;150910;"Vegetable oils; olive oil and its fractions, virgin, whether or not refined, but not chemically modified";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;91251195.0;False;8;kg;91251195.0;False;91251195.0;False;0.0;False;366561423.0;360338705.0;366561423.0;0;False;True;2020;POLVOIL
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;071332;"Vegetables, leguminous; small red (adzuki) beans (phaseolus or vigna angularis), shelled, whether or not skinned or split, dried";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;33436149.0;False;8;kg;33436149.0;False;33436167.0;False;0.0;False;;33523381.0;33523381.0;0;False;True;2020;PCHANA
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;170250;"Sugars; fructose, chemically pure, in solid form";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;3551947.729;True;8;kg;3543832.0;False;3551947.729;True;0.0;False;2779821.0;2573513.0;2779821.0;6;False;True;2020;PSUGAISA
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;030313;"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;6261669.0;False;8;kg;6261669.0;False;6261669.0;False;0.0;False;17986081.0;17004383.0;17986081.0;0;False;True;2020;PSALM
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;091030;"Spices; turmeric (curcuma)";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;2316495.0;False;8;kg;2316495.0;False;2316495.0;False;0.0;False;3195408.0;2985926.0;3195408.0;0;False;True;2020;PSUGAISA
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;510529;"Wool; wool tops and other combed wool, other than in fragments";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;119438.0;False;8;kg;119438.0;False;119438.0;False;0.0;False;1326119.0;1310882.0;1326119.0;0;False;True;2020;PWOOLF
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;410190;"Hides and skins; other than whole, but including butts, bends and bellies, of bovine (including. buffalo) and equine animals, fresh, salted or preserved, but not tanned, parchment dressed or further prepared, whether or not dehaired or split";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;667077.0;False;8;kg;667077.0;False;667077.0;False;0.0;False;;228346.0;228346.0;0;False;True;2020;PHIDE
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;151419;"Vegetable oils; low erucic acid rape or colza oil and its fractions, other than crude, but not chemically modified";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;579619.463;True;8;kg;579590.0;False;579633.463;True;0.0;False;;944332.0;944332.0;6;False;True;2020;PROIL
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;090421;"Spices; fruits of the genus Capsicum or Pimenta, dried, neither crushed nor ground";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;1969341.0;False;8;kg;1969341.0;False;1966341.0;False;0.0;False;;3667518.0;3667518.0;0;False;True;2020;PSUGAISA
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;010239;"Buffalo; live, other than pure-bred breeding animals";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;5;u;133.0;False;5;u;133.0;False;133.0;False;0.0;False;;639.0;639.0;0;False;True;2020;PBEEF
C;A;20200101;2020;52;2020;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H5;HS;True;030312;"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;22183.0;False;8;kg;22183.0;False;22183.0;False;0.0;False;;67331.0;67331.0;0;False;True;2020;PSALM
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;160420;"Fish preparations; fish minced or in forms n.e.c. in heading no. 1604, prepared or preserved";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;10617557.0;False;8;kg;10617557.0;False;10617557.0;False;0.0;False;27509230.0;26427920.0;27509230.0;0;False;True;2020;PSALM
C;A;20200101;2020;52;2020;76;BRA;Brazil;M;Import;0;W00;World;0;W00;World;H5;HS;True;110811;"Starch; wheat";6;True;C00;TOTAL CPC;0;0;TOTAL MOT;8;kg;2248950.0;False;8;kg;2248950.0;False;2248950.0;False;0.0;False;1067443.0;977042.0;1067443.0;0;False;True;2020;PWHEAMT
