year;IMF_Code;weight;net_exports;exports;imports
2019;PALUM;0.0011588601510869566;2132302678;2947024531;814721853
2019;PAPPLE;-0.00016159426576086957;-297333449;81507957;378841406
2019;PBANSOP;0.00012334629347826088;226957180;280004223;53047043
2019;PBARL;-0.00014645596304347825;-269478972;1279646;270758618
2019;PBEEF;0.0038202730032608698;7029302326;7314311914;285009588
2019;PCHANA;-1.6245370652173912e-05;-29891482;113245438;143136920
2019;PCOAL;-0.0017090714407608696;-3144691451;1210954;3145902405
2019;PCOBA;-1.1817422282608696e-05;-21744057;62628;21806685
2019;PCOCO;6.290005978260869e-06;11573611;201712182;190138571
2019;PCOFFOTM;0.003864523910869565;7110723996;7214574918;103850922
2019;PCOPP;0.00041050719510869564;755333239;2673617855;1918284616
2019;PCOTTIND;0.0014292670869565218;2629851440;2676347081;46495641
2019;PDAP;-0.0008730563233695653;-1606423635;4404415;1610828050
2019;PFSHMEAL;6.547914673913044e-06;12048163;17807823;5759660
2019;PGNUTS;0.00015081991195652173;277508638;419311643;141803005
2019;PGOLD;0.0019825206864130434;3647838063;3658465023;10626960
2019;PHIDE;-8.758434782608696e-06;-16115520;2850803;18966323
2019;PIORECR;0.014254887486956521;26228992976;26329713220;100720244
2019;PLAMB;-1.6287552717391304e-05;-29969097;2463985;32433082
2019;PLEAD;-4.652167445652174e-05;-85599881;33925200;119525081
2019;PLMMODY;0.00014854591630434784;273324486;523907685;250583199
2019;PLOGORE;0.00020160995;370962308;385049176;14086868
2019;PLOGSOFT;1.0269114130434783e-06;1889517;2506456;616939
2019;PMAIZMT;0.003872962439673913;7126250889;7359762287;233511398
2019;PMILK;-0.00011751954619565217;-216235965;33737819;249973784
2019;PNGAS;-0.0011407566076086957;-2098992158;4765;2098996923
2019;PNICK;-4.670938586956522e-05;-85945270;392177;86337447
2019;POATS;1.086333152173913e-06;1998853;2271942;273089
2019;POILAPSP;0.0063533689288043475;11690198829;30063783787;18373584958
2019;POLVOIL;-0.00028381930923913044;-522227529;851308;523078837
2019;PORANG;0.0012361679423913044;2274549014;2387006392;112457378
2019;PPALLA;-0.0002735953375;-503415421;55900;503471321
2019;PPLAT;-4.305898695652174e-05;-79228536;491813;79720349
2019;PPOIL;-0.0001106639847826087;-203621732;57355688;260977420
2019;PPORK;0.0008455659902173913;1555841422;1581482423;25641001
2019;PPOTASH;-0.002016652431521739;-3710640474;3983081;3714623555
2019;PPOULT;0.0035626683456521737;6555309756;6571756293;16446537
2019;PPROPANE;-0.0004069780016304348;-748839523;526379;749365902
2019;PRICENPQ;5.924782173913043e-05;109015992;369027516;260011524
2019;PROIL;6.616104347826087e-06;12173632;49472291;37298659
2019;PRUBB;-0.00030133369510869563;-554453999;43899255;598353254
2019;PSALM;-0.0005433598010869565;-999782034;78539265;1078321299
2019;PSAWORE;0.004087968304891304;7521861681;7552598853;30737172
2019;PSAWSOFT;0.00014081290054347825;259095737;264797569;5701832
