family,p_dy,q_dx,ect_lags,var_lags,bic,aic,lb_fail,nobs,metascore,r2_adj_in,r2_oos_h1,r2_oos_h2,r2_oos_h4,stable
ARDL-ECM,1,0,1,0,-514.4159978790473,-535.0957377084119,0,98,1.4415538717064362,0.16818109715652985,-1.5287889745864796,-1.5772814274713651,-1.1075662306386849,
LEGACY-GRID,1,0,1,0,-514.4159978790473,-535.0957377084119,0,98,1.4415538717064362,0.16818109715652985,-1.5287889745864796,-1.5772814274713651,-1.1075662306386849,False
ARDL-ECM,2,0,1,0,-509.1587499283086,-532.3311487348391,0,97,1.4872043898272895,0.20544178252692902,-1.691730238671767,-1.7406506898753817,-1.3103066253716822,
LEGACY-GRID,2,0,1,0,-509.1587499283086,-532.3311487348391,0,97,1.4872043898272895,0.20544178252692902,-1.691730238671767,-1.7406506898753817,-1.3103066253716822,False
ARDL-ECM,0,0,1,0,-524.6806681378462,-542.8465070887883,0,99,1.569526064838865,0.1723420546798744,-1.9611745521813062,-2.4337588514753676,-1.4030016333274506,
LEGACY-GRID,0,0,1,0,-524.6806681378462,-542.8465070887883,0,99,1.569526064838865,0.1723420546798744,-1.9611745521813062,-2.4337588514753676,-1.4030016333274506,False
ECT-lags,0,0,2,0,-513.9868303978318,-534.6665702271964,0,98,1.5810786142906563,0.1645303579641294,-1.9910531666303344,-2.634705453044896,-1.6209795081470069,
LEGACY-GRID,0,0,2,0,-513.9868303978318,-534.6665702271964,0,98,1.5810786142906563,0.1645303579641294,-1.9910531666303344,-2.634705453044896,-1.6209795081470069,False
LEGACY-GRID,0,0,3,0,-504.0538472854907,-527.2262460920211,0,97,1.6612977412147625,0.16250598182131504,-2.3187331826291584,-2.834759650923752,-1.786097322504482,False
ECT-lags,1,0,2,0,-509.9140123053622,-533.1787196133973,0,98,1.7354761689024094,0.15954677597433586,-2.7111515667873873,-2.2892384762854703,-1.5082502855238071,
LEGACY-GRID,1,0,2,0,-509.9140123053622,-533.1787196133973,0,98,1.7354761689024094,0.15954677597433586,-2.7111515667873873,-2.2892384762854703,-1.5082502855238071,False
LEGACY-GRID,2,0,2,0,-504.80853541249377,-530.5556451975276,0,97,1.8128321081468088,0.1981668384730133,-3.048522473964831,-2.596852207125503,-1.7673199806623416,False
LEGACY-GRID,1,0,3,0,-500.1848110219385,-525.9319208069724,0,97,1.8700040378429796,0.1590200492095719,-3.3208316213872395,-2.7073039540433266,-1.9405923303851922,False
LEGACY-GRID,2,0,3,0,-500.25079602532895,-528.5726167888662,0,97,1.8892167122181205,0.18898510858056683,-3.403725099646879,-2.8425535454517568,-1.9754692130817437,False
ECT-lags,0,1,2,1,-505.453140532888,-531.3028153195937,0,98,2.0662878276706595,0.15107183512203082,-4.275191379927824,-3.5292892916505236,-3.3565595319883172,
ARDL-ECM,1,1,1,1,-505.4531405328878,-531.3028153195935,0,98,2.0662878276706698,0.15107183512202804,-4.275191379927915,-3.5292892916502066,-3.3565595319882355,
ECT-lags,1,1,2,1,-505.4531405328876,-531.3028153195933,0,98,2.0662878276707723,0.1510718351220266,-4.275191379928448,-3.529289291650568,-3.356559531988718,
ARDL-ECM,0,1,1,1,-509.73995568227,-533.0046629903052,0,98,2.0932260816069683,0.15805273071118886,-4.365016769004648,-4.107644582563281,-3.547785060856137,
ARDL-ECM,0,2,1,2,-494.75903164685104,-523.0808524103883,0,97,2.0935295324170897,0.14174389694387546,-4.450969406211861,-3.3265328454099707,-4.1369090893921605,
