family,p_dy,q_dx,ect_lags,var_lags,bic,aic,lb_fail,nobs,metascore,r2_adj_in,r2_oos_h1,r2_oos_h2,r2_oos_h4,stable
ARDL-ECM,2,1,1,1,-500.25770926709293,-528.5795300306302,0,97,2.1205563358357162,0.1890429079849535,-4.550314379439119,-3.8221212601977514,-3.5025485513086494,
ECT-lags,0,2,2,2,-490.5130726621203,-521.4096044041609,0,97,2.178839005419809,0.1345848038580788,-4.887435710853538,-3.836604196305175,-4.169089777834242,
ARDL-ECM,1,2,1,2,-490.51307266211995,-521.4096044041605,0,97,2.178839005419815,0.13458480385807603,-4.887435710853562,-3.836604196305238,-4.169089777834163,
ECT-lags,1,2,2,2,-490.5130726621197,-521.4096044041603,0,97,2.1788390054199342,0.1345848038580746,-4.887435710854216,-3.8366041963056974,-4.169089777834773,
ARDL-ECM,2,2,1,2,-491.40272171885476,-524.8739644393987,0,97,2.198439438689737,0.1722507781511775,-4.987784007883889,-3.97869361149199,-4.175303051853582,
LEGACY-GRID,0,2,3,2,-579.7109059310956,-623.4809925656531,0,97,2.235611166115097,0.7104121012826174,-5.169405232469808,-4.355268406930788,-3.603468273935288,False
LEGACY-GRID,1,2,3,2,-579.710905931103,-623.4809925656605,0,97,2.2356111661151354,0.7104121012826394,-5.169405232470025,-4.35526840693094,-3.6034682739354054,False
LEGACY-GRID,2,2,1,2,-579.7109059311032,-623.4809925656607,0,97,2.2356111661151683,0.7104121012826403,-5.1694052324701785,-4.355268406931346,-3.603468273935208,False
LEGACY-GRID,2,2,2,2,-579.710905931104,-623.4809925656615,0,97,2.235611166115237,0.7104121012826425,-5.169405232470575,-4.355268406931529,-3.6034682739351362,False
LEGACY-GRID,2,2,3,2,-579.7109059311039,-623.4809925656614,0,97,2.2356111661153117,0.7104121012826421,-5.1694052324709885,-4.355268406931862,-3.603468273935209,False
LEGACY-GRID,1,3,1,3,-563.7148197269652,-615.0017835563219,0,96,2.3016584910898334,0.7141695560316035,-5.514757270309622,-4.906261042665376,-3.0308195735389214,False
LEGACY-GRID,1,3,2,3,-563.7148197269671,-615.0017835563239,0,96,2.3016584910899214,0.7141695560316089,-5.514757270310096,-4.9062610426660225,-3.030819573539958,False
LEGACY-GRID,0,3,2,3,-563.7148197269579,-615.0017835563146,0,96,2.301658491090027,0.7141695560315816,-5.514757270310736,-4.906261042666188,-3.0308195735402057,False
LEGACY-GRID,1,2,1,2,-584.0998934023819,-625.295269058436,0,97,2.3113762136657385,0.7134391143956157,-5.589936882059887,-4.76816643548855,-3.538813750674099,False
LEGACY-GRID,1,2,2,2,-584.0998934023833,-625.2952690584374,0,97,2.3113762136659353,0.7134391143956199,-5.589936882061027,-4.768166435489354,-3.5388137506747075,False
LEGACY-GRID,0,2,2,2,-584.0998934023743,-625.2952690584284,0,97,2.3113762136660028,0.7134391143955934,-5.5899368820614495,-4.768166435489354,-3.5388137506748896,False
LEGACY-GRID,1,3,3,3,-561.1284004754888,-614.9797124963134,0,96,2.3668338159049687,0.7162650345915149,-5.918812623926163,-4.9662826894225205,-3.8831409668882255,False
LEGACY-GRID,2,3,1,3,-561.1284004754872,-614.9797124963118,0,96,2.3668338159049918,0.71626503459151,-5.918812623926276,-4.966282689422846,-3.8831409668875727,False
LEGACY-GRID,2,3,2,3,-561.128400475488,-614.9797124963126,0,96,2.366833815905106,0.7162650345915123,-5.91881262392688,-4.966282689423996,-3.8831409668880967,False
LEGACY-GRID,2,3,3,3,-561.1284004754883,-614.9797124963129,0,96,2.3668338159051068,0.7162650345915131,-5.918812623926984,-4.966282689423089,-3.8831409668872308,False
LEGACY-GRID,0,3,3,3,-561.1284004754825,-614.9797124963071,0,96,2.3668338159052524,0.7162650345914965,-5.9188126239279,-4.966282689423229,-3.8831409668886634,False
LEGACY-GRID,2,1,1,1,-590.9265896285808,-624.3978323491248,2,97,3.2478796036595527,0.7033090633793209,-5.266674258072032,-4.14600779374687,-3.2666941180158826,False
LEGACY-GRID,2,1,2,1,-590.9265896285807,-624.3978323491247,2,97,3.247879603659667,0.7033090633793202,-5.266674258072654,-4.1460077937475335,-3.2666941180163604,False
LEGACY-GRID,2,1,3,1,-587.7040366618917,-623.749990360939,2,97,3.3619317767942665,0.7038910688476121,-5.846575259520903,-5.351464536482376,-3.3991965024935444,False
LEGACY-GRID,0,1,3,1,-592.2536716377501,-625.7249143582941,2,97,3.430449748258187,0.7073405279420977,-6.213789154175874,-6.072521851132218,-3.4355083648682756,False
LEGACY-GRID,1,1,3,1,-592.2536716377551,-625.7249143582991,2,97,3.4304497482582517,0.7073405279421128,-6.2137891541762675,-6.072521851132515,-3.435508364868668,False
LEGACY-GRID,1,1,1,1,-602.0767828159946,-633.0963925600415,3,98,3.787446848807978,0.7048635501888072,-5.477206086882967,-4.437620439059231,-3.166996112472461,False
LEGACY-GRID,0,1,2,1,-602.076782815991,-633.0963925600379,3,98,3.7874468488081146,0.7048635501887968,-5.477206086883731,-4.437620439059969,-3.166996112472969,False
LEGACY-GRID,1,1,2,1,-602.0767828159946,-633.0963925600415,3,98,3.787446848808132,0.7048635501888074,-5.477206086883844,-4.437620439059907,-3.1669961124729715,False
LEGACY-GRID,0,1,1,1,-599.916301326,-628.3509435913763,4,98,4.539119875258636,0.6874676197347807,-6.935816531522297,-6.11737708085393,-3.9351309023076677,False
LEGACY-GRID,0,3,1,3,-555.1002731416114,-603.8228887795003,4,96,4.5699963107869435,0.6763680691592933,-7.213811818507107,-5.5259864262754235,-3.2922970278046657,False
LEGACY-GRID,0,2,1,2,-577.2481449423209,-615.8688096198716,4,97,4.5886749748804,0.6815455383953877,-7.356931792089261,-5.416646079645743,-4.0636360137804965,False
