family,p_dy,q_dx,ect_lags,var_lags,bic,aic,lb_fail,nobs,metascore,r2_adj_in,r2_oos_h1,r2_oos_h2,r2_oos_h4,stable
ARDL-ECM,0,0,1,0,-524.6806681378462,-542.8465070887883,0,99,4.470153137795897,0.1723420546798744,-1.0485597664389763,-2.461956682616236,-14.304855681553798,
LEGACY-GRID,0,0,1,0,-524.6806681378462,-542.8465070887883,0,99,4.470153137795897,0.1723420546798744,-1.0485597664389763,-2.461956682616236,-14.304855681553798,True
ECT-lags,0,0,2,0,-513.9868303978318,-534.6665702271964,0,98,4.5038785452225705,0.1645303579641294,-1.0785231936735329,-2.5372674398880473,-14.952151618021954,
LEGACY-GRID,0,0,2,0,-513.9868303978318,-534.6665702271964,0,98,4.5038785452225705,0.1645303579641294,-1.0785231936735329,-2.5372674398880473,-14.952151618021954,True
LEGACY-GRID,0,0,3,0,-504.0538472854907,-527.2262460920211,0,97,4.521879089538234,0.16250598182131504,-1.0963056509512907,-2.5412059682986836,-15.29618485521608,True
ARDL-ECM,0,1,1,1,-509.73995568227,-533.0046629903052,0,98,4.8100518794389355,0.15805273071118886,-1.3685283271245892,-3.0819768350573185,-20.098766632791392,
LEGACY-GRID,0,1,1,1,-509.73995568227,-533.0046629903052,0,98,4.8100518794389355,0.15805273071118886,-1.3685283271245892,-3.0819768350573185,-20.098766632791392,True
ARDL-ECM,0,2,1,2,-494.75903164685104,-523.0808524103883,0,97,4.8936209287849275,0.14174389694387546,-1.4456098421515189,-3.3546981134962026,-22.49212321931705,
LEGACY-GRID,0,2,1,2,-494.75903164685104,-523.0808524103883,0,97,4.8936209287849275,0.14174389694387546,-1.4456098421515189,-3.3546981134962026,-22.49212321931705,True
ARDL-ECM,2,0,1,0,-509.1587499283086,-532.3311487348391,0,97,4.919329014214205,0.20544178252692902,-1.4757437808973353,-3.304865262910228,-21.456786318627977,
LEGACY-GRID,2,0,1,0,-509.1587499283086,-532.3311487348391,0,97,4.919329014214205,0.20544178252692902,-1.4757437808973353,-3.304865262910228,-21.456786318627977,True
ARDL-ECM,1,0,1,0,-514.4159978790473,-535.0957377084119,0,98,4.939993822119447,0.16818109715652985,-1.5024478707690787,-3.214559286595211,-21.97794681665967,
LEGACY-GRID,1,0,1,0,-514.4159978790473,-535.0957377084119,0,98,4.939993822119447,0.16818109715652985,-1.5024478707690787,-3.214559286595211,-21.97794681665967,True
LEGACY-GRID,2,0,2,0,-504.80853541249377,-530.5556451975276,0,97,4.991019017562685,0.1981668384730133,-1.548661400702958,-3.426176430845538,-23.62665169685494,True
LEGACY-GRID,1,0,3,0,-500.1848110219385,-525.9319208069724,0,97,5.007154381404162,0.1590200492095719,-1.5729074080365888,-3.288184417198498,-24.116845789872986,True
ECT-lags,1,0,2,0,-509.9140123053622,-533.1787196133973,0,98,5.008026029323048,0.15954677597433586,-1.571831451198646,-3.3318073723789476,-24.117963106964986,
LEGACY-GRID,1,0,2,0,-509.9140123053622,-533.1787196133973,0,98,5.008026029323048,0.15954677597433586,-1.571831451198646,-3.3318073723789476,-24.117963106964986,True
LEGACY-GRID,2,0,3,0,-500.25079602532895,-528.5726167888662,0,97,5.0138047977967535,0.18898510858056683,-1.5717458748451918,-3.4718994572017285,-24.08727270053155,True
LEGACY-GRID,0,3,1,3,-482.55320949234215,-515.889735981424,0,96,5.019146237545369,0.14974014900612165,-1.572595062253436,-3.58289644624661,-24.050878758842483,True
LEGACY-GRID,0,2,3,2,-491.40272171885533,-524.8739644393993,0,97,5.233957419438158,0.17225077815118217,-1.8001061702774304,-3.9266167667159033,-29.24891958616018,True
ARDL-ECM,2,2,1,2,-491.40272171885476,-524.8739644393987,0,97,5.233957419438235,0.1722507781511775,-1.8001061702775107,-3.92661676671608,-29.248919586161886,
LEGACY-GRID,2,2,1,2,-491.40272171885476,-524.8739644393987,0,97,5.233957419438235,0.1722507781511775,-1.8001061702775107,-3.92661676671608,-29.248919586161886,True
LEGACY-GRID,2,2,2,2,-491.4027217188544,-524.8739644393984,0,97,5.233957419438292,0.17225077815117418,-1.8001061702775702,-3.9266167667162497,-29.248919586163183,True
LEGACY-GRID,1,2,3,2,-491.40272171885454,-524.8739644393985,0,97,5.233957419438295,0.17225077815117507,-1.800106170277573,-3.926616766716273,-29.24891958616346,True
LEGACY-GRID,2,2,3,2,-491.40272171885454,-524.8739644393985,0,97,5.233957419438313,0.1722507781511763,-1.8001061702775911,-3.9266167667163066,-29.24891958616366,True
LEGACY-GRID,0,3,3,3,-479.65987764553574,-518.1251005175533,0,96,5.259899393776189,0.18353687507299832,-1.8274551932023546,-3.9860264082523846,-29.131593265214942,True
LEGACY-GRID,2,3,1,3,-479.6598776455354,-518.1251005175529,0,96,5.259899393776293,0.18353687507299465,-1.8274551932024616,-3.9860264082526573,-29.131593265216992,True
LEGACY-GRID,1,3,3,3,-479.6598776455352,-518.1251005175527,0,96,5.259899393776308,0.183536875072994,-1.8274551932024758,-3.9860264082527452,-29.131593265217507,True
LEGACY-GRID,2,3,2,3,-479.65987764553506,-518.1251005175526,0,96,5.259899393776308,0.1835368750729922,-1.8274551932024758,-3.9860264082527292,-29.13159326521751,True
LEGACY-GRID,2,3,3,3,-479.65987764553506,-518.1251005175526,0,96,5.259899393776324,0.18353687507299243,-1.8274551932024945,-3.98602640825273,-29.13159326521802,True
ARDL-ECM,2,1,1,1,-500.25770926709293,-528.5795300306302,0,97,5.284404738177502,0.1890429079849535,-1.8521653758192982,-4.069861869553054,-29.828313084162307,
LEGACY-GRID,2,1,1,1,-500.25770926709293,-528.5795300306302,0,97,5.284404738177502,0.1890429079849535,-1.8521653758192982,-4.069861869553054,-29.828313084162307,True
LEGACY-GRID,2,1,2,1,-500.2577092670927,-528.5795300306299,0,97,5.284404738177521,0.1890429079849525,-1.8521653758193186,-4.069861869553124,-29.828313084163163,True
ECT-lags,0,1,2,1,-505.453140532888,-531.3028153195937,0,98,5.290311502312422,0.15107183512203082,-1.8643250539709633,-3.9548612472397853,-30.144164406525892,
LEGACY-GRID,0,1,2,1,-505.453140532888,-531.3028153195937,0,98,5.290311502312422,0.15107183512203082,-1.8643250539709633,-3.9548612472397853,-30.144164406525892,True
ECT-lags,1,1,2,1,-505.4531405328876,-531.3028153195933,0,98,5.290311502312449,0.1510718351220266,-1.8643250539709872,-3.954861247239969,-30.14416440652706,
LEGACY-GRID,1,1,2,1,-505.4531405328876,-531.3028153195933,0,98,5.290311502312449,0.1510718351220266,-1.8643250539709872,-3.954861247239969,-30.14416440652706,True
ARDL-ECM,1,1,1,1,-505.4531405328878,-531.3028153195935,0,98,5.290311502312453,0.15107183512202804,-1.8643250539709904,-3.9548612472399842,-30.14416440652713,
LEGACY-GRID,1,1,1,1,-505.4531405328878,-531.3028153195935,0,98,5.290311502312453,0.15107183512202804,-1.8643250539709904,-3.9548612472399842,-30.14416440652713,True
LEGACY-GRID,0,1,3,1,-495.67046688142835,-523.9922876449656,0,97,5.290860137738257,0.14977050783323775,-1.8667852327634007,-3.915466599038261,-30.146695808341587,True
LEGACY-GRID,1,1,3,1,-495.67046688142756,-523.9922876449648,0,97,5.290860137738266,0.14977050783323198,-1.8667852327634002,-3.9154665990384805,-30.146695808343082,True
ECT-lags,0,2,2,2,-490.5130726621203,-521.4096044041609,0,97,5.296560495473276,0.1345848038580788,-1.869348943987362,-4.004576173646453,-30.903897916688205,
LEGACY-GRID,0,2,2,2,-490.5130726621203,-521.4096044041609,0,97,5.296560495473276,0.1345848038580788,-1.869348943987362,-4.004576173646453,-30.903897916688205,True
ARDL-ECM,1,2,1,2,-490.51307266211995,-521.4096044041605,0,97,5.2965604954733205,0.13458480385807603,-1.8693489439874078,-4.0045761736465995,-30.90389791668949,
LEGACY-GRID,1,2,1,2,-490.51307266211995,-521.4096044041605,0,97,5.2965604954733205,0.13458480385807603,-1.8693489439874078,-4.0045761736465995,-30.90389791668949,True
ECT-lags,1,2,2,2,-490.5130726621197,-521.4096044041603,0,97,5.2965604954733205,0.1345848038580746,-1.8693489439874065,-4.004576173646605,-30.903897916689406,
LEGACY-GRID,1,2,2,2,-490.5130726621197,-521.4096044041603,0,97,5.2965604954733205,0.1345848038580746,-1.8693489439874065,-4.004576173646605,-30.903897916689406,True
LEGACY-GRID,2,1,3,1,-495.7008521036232,-526.5973838456638,0,97,5.306316290054168,0.1796532431929787,-1.8753638972251814,-4.123075014805915,-30.338840616637622,True
LEGACY-GRID,0,3,2,3,-478.1857754773008,-514.0866501578505,0,96,5.35083773325054,0.14113462994415804,-1.9271551991208486,-4.136122845768875,-31.756990248656024,True
LEGACY-GRID,1,3,2,3,-478.18577547730024,-514.0866501578499,0,96,5.350837733250595,0.14113462994415282,-1.927155199120905,-4.136122845769031,-31.756990248657353,True
LEGACY-GRID,1,3,1,3,-478.18577547730035,-514.08665015785,0,96,5.350837733250608,0.14113462994415527,-1.9271551991209197,-4.136122845769057,-31.756990248657615,True
