"SERIES";"INDICE PRODUCCION INDUSTRIAL. FRANCIA. CVEC";"INDICE PRODUCCION INDUSTRIAL. ALEMANIA. CVEC";"INDICE PRODUCCION INDUSTRIAL. ITALIA. CVEC";
"PERIODOS";"610003.D";"610004.D";"610007.D";
199001;91.6000000000000000;"-";105.1000000000000000;
199002;93.2000000000000000;"-";105.5000000000000000;
199003;92.7000000000000000;"-";106.0000000000000000;
199004;93.1000000000000000;"-";106.8000000000000000;
199005;93.3000000000000000;"-";105.6000000000000000;
199006;91.9000000000000000;"-";104.6000000000000000;
199007;92.1000000000000000;"-";104.9000000000000000;
199008;91.4000000000000000;"-";105.8000000000000000;
199009;92.2000000000000000;"-";105.7000000000000000;
199010;91.9000000000000000;"-";105.1000000000000000;
199011;90.9000000000000000;"-";103.6000000000000000;
199012;91.9000000000000000;"-";105.2000000000000000;
199101;93.2000000000000000;81.8000000000000000;105.9000000000000000;
199102;92.8000000000000000;80.9000000000000000;103.9000000000000000;
199103;91.6000000000000000;80.2000000000000000;103.4000000000000000;
199104;91.7000000000000000;79.5000000000000000;102.4000000000000000;
199105;91.8000000000000000;78.7000000000000000;103.6000000000000000;
199106;92.1000000000000000;81.6000000000000000;103.9000000000000000;
199107;90.6000000000000000;79.0000000000000000;104.0000000000000000;
199108;91.6000000000000000;78.2000000000000000;104.6000000000000000;
199109;91.9000000000000000;77.9000000000000000;105.8000000000000000;
199110;91.5000000000000000;79.1000000000000000;105.0000000000000000;
199111;92.9000000000000000;80.0000000000000000;105.5000000000000000;
199112;92.1000000000000000;79.8000000000000000;104.2000000000000000;
199201;92.4000000000000000;81.1000000000000000;104.9000000000000000;
199202;91.7000000000000000;81.9000000000000000;104.9000000000000000;
199203;92.6000000000000000;80.0000000000000000;104.8000000000000000;
199204;91.9000000000000000;79.9000000000000000;105.1000000000000000;
199205;91.9000000000000000;79.0000000000000000;104.8000000000000000;
199206;90.9000000000000000;78.2000000000000000;104.6000000000000000;
199207;90.5000000000000000;76.5000000000000000;103.3000000000000000;
199208;90.8000000000000000;77.2000000000000000;101.6000000000000000;
199209;89.5000000000000000;76.5000000000000000;100.7000000000000000;
199210;90.5000000000000000;76.4000000000000000;101.4000000000000000;
199211;89.3000000000000000;75.2000000000000000;102.0000000000000000;
199212;88.1000000000000000;73.8000000000000000;100.3000000000000000;
199301;87.9000000000000000;73.7000000000000000;102.0000000000000000;
199302;88.1000000000000000;72.5000000000000000;101.8000000000000000;
199303;87.7000000000000000;72.4000000000000000;101.4000000000000000;
199304;87.1000000000000000;71.8000000000000000;101.2000000000000000;
199305;87.0000000000000000;71.6000000000000000;100.6000000000000000;
199306;86.3000000000000000;71.3000000000000000;100.2000000000000000;
199307;87.5000000000000000;69.8000000000000000;99.6000000000000000;
199308;86.9000000000000000;72.8000000000000000;99.7000000000000000;
199309;87.5000000000000000;72.4000000000000000;100.2000000000000000;
199310;87.9000000000000000;72.4000000000000000;100.1000000000000000;
199311;87.3000000000000000;72.1000000000000000;100.9000000000000000;
199312;86.4000000000000000;72.7000000000000000;100.7000000000000000;
199401;88.0000000000000000;72.2000000000000000;101.0000000000000000;
199402;87.8000000000000000;73.4000000000000000;102.8000000000000000;
199403;87.7000000000000000;72.9000000000000000;104.1000000000000000;
199404;90.2000000000000000;74.0000000000000000;105.9000000000000000;
199405;90.1000000000000000;73.6000000000000000;106.3000000000000000;
199406;90.6000000000000000;73.9000000000000000;107.2000000000000000;
199407;91.5000000000000000;73.7000000000000000;107.5000000000000000;
199408;92.1000000000000000;73.7000000000000000;107.9000000000000000;
199409;91.7000000000000000;74.7000000000000000;108.5000000000000000;
199410;92.6000000000000000;76.2000000000000000;108.2000000000000000;
199411;93.4000000000000000;75.9000000000000000;110.0000000000000000;
199412;93.2000000000000000;76.1000000000000000;112.5000000000000000;
199501;94.0000000000000000;74.7000000000000000;112.3000000000000000;
199502;93.4000000000000000;75.7000000000000000;111.6000000000000000;
199503;94.1000000000000000;75.2000000000000000;112.0000000000000000;
199504;94.2000000000000000;75.6000000000000000;111.9000000000000000;
199505;93.7000000000000000;76.1000000000000000;112.7000000000000000;
199506;94.3000000000000000;75.4000000000000000;112.4000000000000000;
199507;94.7000000000000000;75.0000000000000000;112.4000000000000000;
199508;94.1000000000000000;74.3000000000000000;114.2000000000000000;
199509;94.3000000000000000;75.6000000000000000;113.7000000000000000;
199510;92.5000000000000000;73.7000000000000000;114.4000000000000000;
199511;92.6000000000000000;74.2000000000000000;114.4000000000000000;
199512;94.6000000000000000;74.6000000000000000;116.3000000000000000;
199601;93.8000000000000000;74.5000000000000000;114.6000000000000000;
199602;94.0000000000000000;74.5000000000000000;113.3000000000000000;
199603;94.7000000000000000;74.7000000000000000;112.1000000000000000;
199604;93.8000000000000000;74.2000000000000000;111.0000000000000000;
199605;95.7000000000000000;75.1000000000000000;110.8000000000000000;
199606;94.7000000000000000;75.0000000000000000;111.2000000000000000;
199607;93.2000000000000000;74.3000000000000000;111.0000000000000000;
199608;95.3000000000000000;75.7000000000000000;111.5000000000000000;
199609;95.4000000000000000;75.9000000000000000;109.9000000000000000;
199610;94.4000000000000000;75.0000000000000000;110.5000000000000000;
199611;95.6000000000000000;75.9000000000000000;110.1000000000000000;
199612;95.8000000000000000;76.0000000000000000;109.6000000000000000;
199701;94.9000000000000000;75.5000000000000000;110.4000000000000000;
199702;95.6000000000000000;75.9000000000000000;112.4000000000000000;
199703;96.0000000000000000;76.8000000000000000;113.0000000000000000;
199704;99.5000000000000000;76.4000000000000000;114.9000000000000000;
