;date;year;month;ctot_log_change;ctot_pct_gdp;n_commodities;ctot_level;ctot_12m_avg
0;2000-02-01;2000;2;-0.0031133907521423863;-0.31133907521423865;42;99.68914508229703;
1;2000-03-01;2000;3;-0.003641872090628778;-0.36418720906287777;42;99.32675026541166;
2;2000-04-01;2000;4;-0.001027025325540746;-0.1027025325540746;42;99.22479154344225;
3;2000-05-01;2000;5;0.002283766972489155;0.22837669724891552;42;99.45165680030867;
4;2000-06-01;2000;6;-0.0017646656452623205;-0.17646656452623205;42;99.27631263560299;
5;2000-07-01;2000;7;0.0030387809520671517;0.30387809520671516;42;99.57845043622847;
6;2000-08-01;2000;8;0.0009573295314504167;0.09573295314504167;42;99.67382547291261;-0.05937805866062681
7;2000-09-01;2000;9;0.0020945490015616282;0.20945490015616283;42;99.8828159785604;-0.043283645903113566
8;2000-10-01;2000;10;-0.003048386727396316;-0.3048386727396316;42;99.57879814542797;-0.013594496717410422
9;2000-11-01;2000;11;-0.004821621648861484;-0.48216216488614844;42;99.0998225041196;-0.039802770151048765
10;2000-12-01;2000;12;0.005165305681251733;0.5165305681251733;42;99.61302767004877;-0.055855939460726256
11;2001-01-01;2001;1;-0.0032481369882632707;-0.32481369882632705;42;99.28999582022008;-0.06446106068499095
12;2001-02-01;2001;2;-0.0011820612212407977;-0.11820612212407977;42;99.17269830658296;-0.10932721192279299
13;2001-03-01;2001;3;-7.917418834440053e-05;-0.007917418834440052;42;99.16484669951502;-0.14406076914671065
14;2001-04-01;2001;4;-0.004172018137577347;-0.4172018137577347;42;98.75199098008733;-0.1727524675762313
15;2001-05-01;2001;5;0.0003573866553278558;0.03573866553278558;42;98.787289931162;-0.14522106383327257
16;2001-06-01;2001;6;-0.0027972801921740836;-0.27972801921740836;42;98.51134033590438;-0.06018396203901899
17;2001-07-01;2001;7;-0.002345157196469095;-0.23451571964690948;42;98.28058644001922;-0.08124117858991402
18;2001-08-01;2001;8;-0.003210697335419704;-0.3210697335419704;42;97.96554324781884;-0.04184046097341493
19;2001-09-01;2001;9;-0.0013484548099808476;-0.13484548099808477;42;97.8335301666547;-0.015213956720336902
20;2001-10-01;2001;10;0.0002553817217587304;0.025538172175873043;42;97.85851825264879;-0.031217913609979275
21;2001-11-01;2001;11;0.005382830566448948;0.5382830566448948;42;98.38669434176641;-0.016989512607531166
22;2001-12-01;2001;12;0.002638439695144327;0.2638439695144327;42;98.64662445576813;-0.010202228123980884
23;2002-01-01;2002;1;0.001479949125716622;0.1479949125716622;42;98.79272452505495;0.053430352141536734
24;2002-02-01;2002;2;0.0020131192891285656;0.20131192891285654;42;98.99180638495397;0.039565957217278236
25;2002-03-01;2002;3;-0.0019996490151014856;-0.19996490151014856;42;98.79405529908912;0.0036213724450521088
26;2002-04-01;2002;4;-0.0024646100172835733;-0.24646100172835733;42;98.55086628688898;-0.004139723643358177
27;2002-05-01;2002;5;0.0011718607933538896;0.11718607933538895;42;98.66642187755076;-0.004497720653903529
28;2002-06-01;2002;6;0.0048386294396880304;0.483862943968803;42;99.1449890019472;0.018202920434998614
29;2002-07-01;2002;7;-0.004008884587380115;-0.4008884587380115;42;98.74832380735266;-0.020958022132781837
30;2002-08-01;2002;8;-0.007524047508086839;-0.7524047508086839;42;98.00812486564845;-0.02295399456143904
31;2002-09-01;2002;9;-0.002279786340590082;-0.2279786340590082;42;97.78494178284949;-0.05420597600245377
32;2002-10-01;2002;10;0.00021242208049328818;0.021242208049328817;42;97.80571566996196;-0.028380067149854166
33;2002-11-01;2002;11;0.008106907497117205;0.8106907497117205;42;98.60184025353178;-0.001378392734035741
34;2002-12-01;2002;12;-0.0020608734129893276;-0.20608734129893275;42;98.39884358954258;0.0279519678246883
35;2003-01-01;2003;1;0.001240432434277758;0.1240432434277758;44;98.52097643974061;-0.008022083964342628
36;2003-02-01;2003;2;-0.0017371184837932023;-0.17371184837932022;45;98.3499823919853;0.0326601776450212
37;2003-03-01;2003;3;0.0010994600472104667;0.10994600472104667;45;98.4581737333992;0.10040840533913609
38;2003-04-01;2003;4;0.0007755909126146376;0.07755909126146375;45;98.53456661920403;0.1543988507661285
39;2003-05-01;2003;5;0.004691504060400775;0.46915040604007746;45;98.9979280196438;0.19508435975543062
40;2003-06-01;2003;6;0.0005217432250043187;0.05217432250043187;45;99.04959299463086;0.17648011487278703
41;2003-07-01;2003;7;0.0008729868057435446;0.08729868057435446;45;99.13609973655765;0.2413293622438869
42;2003-08-01;2003;8;0.0006057398152069468;0.060573981520694674;45;99.19616861051;0.30353787381821756
43;2003-09-01;2003;9;0.004199067110649006;0.41990671106490063;45;99.61357572655541;0.42501691090953947
44;2003-10-01;2003;10;0.005094683159209547;0.5094683159209547;45;100.12237030631309;0.4692507420356869
45;2003-11-01;2003;11;0.005874398111199973;0.5874398111199973;45;100.7122598961234;0.43103002078277936
46;2003-12-01;2003;12;0.005721036271542657;0.5721036271542657;45;101.29008970458236;0.3037714099132143
47;2004-01-01;2004;1;0.008705453823197441;0.8705453823197441;45;102.17571519608208;0.2970145014579631
48;2004-02-01;2004;2;0.012840365967165427;1.2840365967165428;45;103.49614805055269;0.31749529284533723
49;2004-03-01;2004;3;0.006407519782348152;0.6407519782348152;45;104.16143079659186;0.30057054237896247
50;2004-04-01;2004;4;-0.0038108956377342603;-0.381089563773426;45;103.76523785880805;0.28254534433265144
51;2004-05-01;2004;5;-0.01057952924394704;-1.0579529243947041;45;102.67323710263683;0.23583494270082536
52;2004-06-01;2004;6;-0.00028908578962582535;-0.028908578962582535;45;102.64356001863388;0.24976921977642388
53;2004-07-01;2004;7;0.003330681772228443;0.3330681772228443;45;102.9860030207847;0.22634576680298113
54;2004-08-01;2004;8;-0.0014252302407580272;-0.14252302407580272;45;102.83932880199878;0.14685247311116711
55;2004-09-01;2004;9;0.002036043345091685;0.20360433450916848;45;103.0489274365652;0.053205398658790516
56;2004-10-01;2004;10;-0.0005105650366095832;-0.051056503660958326;45;102.99632768609537;-0.0021163969275362106
57;2004-11-01;2004;11;0.007546511360271798;0.7546511360271798;45;103.77653084635101;0.026640921599715203
58;2004-12-01;2004;12;0.002910221914729524;0.2910221914729524;45;104.07898346931465;0.08436831763450015
59;2005-01-01;2005;1;-0.0008337414198202397;-0.08337414198202397;45;103.9922446737513;0.1349146182575315
60;2005-02-01;2005;2;0.0016027170328802368;0.16027170328802368;45;104.15904844949789;0.10710195870647155
61;2005-03-01;2005;3;-0.00023109568801105553;-0.023109568801105554;45;104.13498052363792;0.14909466080529454
62;2005-04-01;2005;4;-0.0003600174144640905;-0.03600174144640905;45;104.09749686498432;0.13036399837485854
63;2005-05-01;2005;5;-0.0036522417197728473;-0.36522417197728474;45;103.71800107103266;0.19064155000212377
64;2005-06-01;2005;6;0.00577647028513794;0.577647028513794;45;104.31885876981022;0.20267850107632487
65;2005-07-01;2005;7;-6.8373738987559015e-06;-0.0006837373898755902;45;104.31814550520654;0.23746544486082855
66;2005-08-01;2005;8;0.0036138940111007326;0.3613894011100733;45;104.69582225732792;0.2763495875142477
67;2005-09-01;2005;9;-0.0002116361465606375;-0.02116361465606375;45;104.67366718143451;0.32605237910886753
68;2005-10-01;2005;10;0.006722741158662246;0.6722741158662245;45;105.37973183775749;0.3569191812344932
69;2005-11-01;2005;11;0.008990945489175927;0.8990945489175928;46;106.33146735215344;0.5924838356476391
70;2005-12-01;2005;12;0.007084655168869968;0.7084655168869968;46;107.08746395747164;0.9033097993499565
71;2006-01-01;2006;1;0.0038323556985900564;0.38323556985900564;46;107.49864860988563;0.7236897082982084
72;2006-02-01;2006;2;0.00756705202423462;0.756705202423462;46;108.3151819553639;0.7852826181016136
73;2006-03-01;2006;3;0.0034729205670640203;0.347292056706402;46;108.69200593963954;0.7606197506632872
74;2006-04-01;2006;4;0.027907741115113415;2.7907741115113414;46;111.76807776552972;0.796010703000653
75;2006-05-01;2006;5;0.033646873924505244;3.3646873924505245;46;115.59270677297017;0.7311541950971175
76;2006-06-01;2006;6;-0.015777940641071814;-1.5777940641071815;46;113.78320455474207;0.5790142999115554
77;2006-07-01;2006;7;0.007384311802509862;0.7384311802509862;46;114.62652505377106;0.45146803156528886
78;2006-08-01;2006;8;0.0006543499185015631;0.06543499185015632;46;114.70155545648988;0.2093899688708191
79;2006-09-01;2006;9;0.004035278133923247;0.40352781339232474;46;115.16534326220666;0.13019189843826437
80;2006-10-01;2006;10;-0.0010600397897620021;-0.10600397897620022;46;115.04332809783726;0.2624588101847498
81;2006-11-01;2006;11;-0.00926584193309154;-0.926584193309154;46;113.98227815617963;0.2804547424549499
82;2006-12-01;2006;12;-0.00822089703268201;-0.822089703268201;46;113.04908269150506;-0.019473041351405308
83;2007-01-01;2007;1;-0.02521701182474631;-2.521701182474631;46;110.2339662247018;0.06556118083255559
84;2007-02-01;2007;2;-0.0019367164276719504;-0.19367164276719503;46;110.02068089469532;0.07847215068187384
85;2007-03-01;2007;3;0.019344949976642274;1.9344949976642274;46;112.16974521445806;-0.011248815523027311
86;2007-04-01;2007;4;0.03006725298753742;3.006725298753742;46;115.59359628193226;-0.03678600897890478
87;2007-05-01;2007;5;-0.0023444601322573765;-0.23444601322573766;46;115.3229091355024;0.008890529324595428
88;2007-06-01;2007;6;-0.005573833978996505;-0.5573833978996505;46;114.68190646676905;-0.1612862027692473
89;2007-07-01;2007;7;0.00893362818442805;0.893362818442805;46;115.71102200195749;-0.16444182432212306
90;2007-08-01;2007;8;-0.010112166026086574;-1.0112166026086575;46;114.5468291127657;0.15972609179159394
91;2007-09-01;2007;9;0.0009708149192179523;0.09708149192179523;46;114.65808688002947;0.3572605092129894
92;2007-10-01;2007;10;0.004421144806658022;0.44211448066580217;46;115.16612912200235;0.27713913521461014
93;2007-11-01;2007;11;-0.02968704978435267;-2.968704978435267;46;111.79743718056385;0.05198103240470981
94;2007-12-01;2007;12;-0.008599571619027099;-0.8599571619027099;46;110.84014914570403;-0.04909338687764625
95;2008-01-01;2008;1;0.013683138108899729;1.3683138108899728;46;112.36721390776272;-0.05270848843684969
96;2008-02-01;2008;2;0.021767413662895495;2.1767413662895496;46;114.83997268041608;-0.10567658800369173
97;2008-03-01;2008;3;0.009730385096836767;0.9730385096836767;46;115.96286406225444;-0.14867377525027767
98;2008-04-01;2008;4;0.0030482806503493855;0.30482806503493853;46;116.31689072911861;-0.28120033828963714
99;2008-05-01;2008;5;-0.014473390446140103;-1.4473390446140104;46;114.64551536463696;-0.8206179780668282
100;2008-06-01;2008;6;-0.006007646166100919;-0.6007646166100918;46;113.95883041919328;-0.9290909736436905
101;2008-07-01;2008;7;0.0025774562364070056;0.2577456236407006;46;114.25293317302214;-1.0553724990625313
102;2008-08-01;2008;8;-0.01527182849567689;-1.527182849567689;46;112.52133793987254;-1.1080002114691838
103;2008-09-01;2008;9;-0.014932372645505183;-1.4932372645505183;46;110.85360994756996;-1.240033193744518
104;2008-10-01;2008;10;-0.06030897196660491;-6.030897196660491;46;104.36574719616402;-1.1360145705400446
105;2008-11-01;2008;11;-0.04270380925357614;-4.270380925357614;46;100.00275347612269;-0.9017471872367039
106;2008-12-01;2008;12;-0.02375335466928798;-2.375335466928798;46;97.65534241927406;-0.7571009200584244
107;2009-01-01;2009;1;0.0073678126201014195;0.7367812620101419;46;98.377505798939;-0.6048123273258902
108;2009-02-01;2009;2;0.005923455789855415;0.5923455789855415;46;98.96196992000684;-0.5247193701276553
109;2009-03-01;2009;3;0.02221261988137357;2.221261988137357;46;101.18477025654752;-0.1416756483291972
110;2009-04-01;2009;4;0.031160366646750256;3.1160366646750255;46;104.38736264280986;0.006500290704070905
111;2009-05-01;2009;5;0.002884161615253429;0.2884161615253429;46;104.68886725226983;0.5160808045061106
112;2009-06-01;2009;6;0.012266984961803193;1.2266984961803193;46;105.98099305330604;0.9645973147631638
113;2009-07-01;2009;7;0.012188611100195186;1.2188611100195186;46;107.28065863072433;1.2382015294468685
114;2009-08-01;2009;8;0.030693418120138087;3.0693418120138087;46;110.6245235511353;1.2444691152630787
115;2009-09-01;2009;9;0.002848740038486989;0.2848740038486989;46;110.94011336385559;1.082712248484398
116;2009-10-01;2009;10;0.000840689689639855;0.0840689689639855;46;111.03341878828685;1.0156918373785893
117;2009-11-01;2009;11;0.011118171977270244;1.1118171977270244;46;112.27479556627573;0.7999519031894474
118;2009-12-01;2009;12;0.009079151092756577;0.9079151092756578;46;113.29879689641793;0.6047205688994812
119;2010-01-01;2010;1;0.00811992291804665;0.811992291804665;47;114.22251959716489;0.4145719784782645
120;2010-02-01;2010;2;-0.013487368223586245;-1.3487368223586245;47;112.69230092394133;0.375409681395739
121;2010-03-01;2010;3;0.014170170548676503;1.4170170548676504;47;114.30053763154002;0.24726886869773887
122;2010-04-01;2010;4;0.0052715745440532254;0.5271574544053226;47;114.90467240779434;0.31246233964558534
123;2010-05-01;2010;5;-0.020543598499542515;-2.0543598499542517;47;112.56819891191492;0.39548274294952623
124;2010-06-01;2010;6;-0.010550845888742813;-1.0550845888742812;48;111.38675278114371;0.3223823648030069
125;2010-07-01;2010;7;0.007489135450292124;0.7489135450292124;48;112.22407475535017;0.3472277464586382
126;2010-08-01;2010;8;0.015316520596378074;1.5316520596378074;48;113.95618822145931;0.3284739398770921
127;2010-09-01;2010;9;0.010671956552228566;1.0671956552228568;48;115.17883612970164;0.4852416684611733
128;2010-10-01;2010;10;0.010803138086112761;1.0803138086112762;48;116.42987440348395;0.2787896742812673
129;2010-11-01;2010;11;0.002346126599687919;0.2346126599687919;48;116.70335431262177;0.21623295018091596
130;2010-12-01;2010;12;0.012060596891432334;1.2060596891432334;48;118.11938836841516;0.3080550563673234
131;2011-01-01;2011;1;0.005869466128261125;0.5869466128261125;48;118.8147247479679;0.4216381223065524
132;2011-02-01;2011;2;0.005324759206503492;0.5324759206503492;48;119.44907192160801;0.4427818923529136
133;2011-03-01;2011;3;-0.010604068752912213;-1.0604068752912212;48;118.18911787654545;0.23332487935373336
134;2011-04-01;2011;4;-0.002235232347988935;-0.22352323479889352;48;117.9252327692215;0.008511139824390742
135;2011-05-01;2011;5;-0.009524945757173628;-0.9524945757173627;48;116.80733373923553;-0.26385115139838966
136;2011-06-01;2011;6;0.003079122023964665;0.3079122023964665;48;117.16755206660298;-0.2569942976052594
137;2011-07-01;2011;7;0.01002638785585547;1.002638785585547;48;118.34822845650488;-0.3626044451073272
138;2011-08-01;2011;8;-0.00981832096352355;-0.9818320963523549;48;117.19193329141851;-0.3224490698175322
139;2011-09-01;2011;9;-0.016305692191292548;-1.6305692191292547;48;115.29653260483326;-0.3049146700831215
140;2011-10-01;2011;10;-0.021880336860620887;-2.188033686062089;48;112.80120449461408;-0.2314577785273245
141;2011-11-01;2011;11;0.0031689490548635507;0.31689490548635507;48;113.1592327520217;-0.24303874618252197
142;2011-12-01;2011;12;-0.0006126208088158057;-0.06126208088158057;48;113.08993028156338;-0.22067298964705173
143;2012-01-01;2012;1;0.010688111163036534;1.0688111163036533;48;114.30513055739833;-0.29791594395095133
144;2012-02-01;2012;2;0.007428887174632764;0.7428887174632764;48;115.15745245755656;-0.36738612102814194
145;2012-03-01;2012;3;-0.0017892417662165626;-0.17892417662165627;48;114.95159215577324;-0.3301851669780059
146;2012-04-01;2012;4;-0.003624948466612631;-0.36249484666126314;48;114.53565289271252;-0.08939318923697614
147;2012-05-01;2012;5;-0.006841054972917203;-0.6841054972917202;48;113.75478222987547;0.10020244424660019
148;2012-06-01;2012;6;-0.006190032492503287;-0.6190032492503287;48;113.05281128459612;0.01802465133393295
149;2012-07-01;2012;7;0.0016899666065926006;0.16899666065926006;48;113.24402829011603;0.07980537787965696
150;2012-08-01;2012;8;-0.005354206477507225;-0.5354206477507225;48;112.63931670029316;0.0065363785037636695
151;2012-09-01;2012;9;0.012589345137631018;1.2589345137631018;48;114.06633570418376;-0.07076007121285564
152;2012-10-01;2012;10;0.0008711391574082724;0.08711391574082725;48;114.16574664985471;-0.13900415051860573
153;2012-11-01;2012;11;-0.006692386094656519;-0.669238609465652;48;113.40425633023786;-0.18647104882220308
154;2012-12-01;2012;12;0.006801066376671076;0.6801066376671075;48;114.1781548896503;-0.13071420413840104
155;2013-01-01;2013;1;0.0018958312379293385;0.18958312379293385;56;114.39482272030486;-0.13276556282051796
156;2013-02-01;2013;2;-0.0018466867913615522;-0.18466867913615523;56;114.18376624976496;-0.17242492157783518
157;2013-03-01;2013;3;-0.009978531282906574;-0.9978531282906574;56;113.05004580583193;-0.06867741525093425
158;2013-04-01;2013;4;-0.00932097626304431;-0.932097626304431;56;112.00120471743482;-0.18485755148105043
159;2013-05-01;2013;5;-0.00015023361086095974;-0.015023361086095973;56;111.98437963590737;-0.1837168484131342
160;2013-06-01;2013;6;-0.00643619553435732;-0.643619553435732;56;111.2659407584105;-0.15280816542899248
161;2013-07-01;2013;7;-0.0030691564442854647;-0.30691564442854646;56;110.92497169066087;-0.1922984200916399
162;2013-08-01;2013;8;0.007095494281720886;0.7095494281720887;56;111.71483812549343;-0.19198127605769533
163;2013-09-01;2013;9;-0.0013522712099829231;-0.13522712099829232;56;111.56387146310931;-0.2122933627391372
164;2013-10-01;2013;10;0.0010080235255582172;0.10080235255582172;56;111.6763871698588;-0.22057100888573486
165;2013-11-01;2013;11;-0.0029833441365595056;-0.2983344136559506;56;111.34371456018482;-0.14156086439015592
166;2013-12-01;2013;12;0.0020622358171533822;0.20622358171533822;56;111.57356848139972;-0.10793823253057726
167;2014-01-01;2014;1;0.0019338885220026869;0.1933888522002687;56;111.78954809778303;-0.07581986868776186
168;2014-02-01;2014;2;-0.004284137193134579;-0.4284137193134579;56;111.31165075679716;0.01820535573616532
169;2014-03-01;2014;3;-0.010971848820498288;-1.097184882049829;56;110.09703164613984;-0.06165584225479267
170;2014-04-01;2014;4;0.00016024107642516016;0.016024107642516015;56;110.11467512656942;-0.08300187652447816
171;2014-05-01;2014;5;0.003884482212288481;0.3884482212288481;56;110.54324547145265;-0.101168095718288
172;2014-06-01;2014;6;-0.002581991873219472;-0.2581991873219472;56;110.25819187140888;-0.06209361030297366
173;2014-07-01;2014;7;0.008213870486585796;0.8213870486585796;56;111.16756801567713;-0.07427557820398448
174;2014-08-01;2014;8;-0.0024878494771940723;-0.24878494771940723;56;110.89134358458345;-0.1564005025180798
175;2014-09-01;2014;9;-0.003913795322345181;-0.3913795322345181;56;110.45818576122339;-0.1880892941880589
176;2014-10-01;2014;10;-0.0011719227776989644;-0.11719227776989644;56;110.32881311952605;-0.05945615176964839
177;2014-11-01;2014;11;0.0017055941132782142;0.17055941132782143;56;110.51714986106975;-0.05353736298836608
178;2014-12-01;2014;12;0.0006003996690320841;0.06003996690320841;56;110.58352424485385;-0.03965325450683375
179;2015-01-01;2015;1;-0.007921102395688752;-0.7921102395688752;56;109.7110409028892;-0.10319832269844804
180;2015-02-01;2015;2;-0.008086792193532071;-0.8086792193532071;56;108.82740820628159;-0.24592607182736567
181;2015-03-01;2015;3;0.00446412826971097;0.446412826971097;56;109.31431371148447;-0.256145205943332
182;2015-04-01;2015;4;0.000870495730179039;0.08704957301790389;56;109.40951278399933;-0.20555530299196986
183;2015-05-01;2015;5;0.005550575230072361;0.5550575230072361;56;110.01848703079347;-0.19999738301532152
184;2015-06-01;2015;6;-0.010207400056213189;-1.020740005621319;56;108.90119633758736;-0.30610320010049247
185;2015-07-01;2015;7;-0.008913459408884319;-0.8913459408884319;56;107.93482320645992;-0.3159095865561498
186;2015-08-01;2015;8;-0.003714145571110032;-0.3714145571110032;56;107.53468111386213;-0.24655008421834582
187;2015-09-01;2015;9;0.0021569930318182753;0.21569930318182753;56;107.76688301061125;-0.14719013757475496
188;2015-10-01;2015;10;-0.00050497238050116;-0.050497238050116;56;107.71247744896728;-0.12735013990097807
189;2015-11-01;2015;11;-0.011027103936942303;-1.1027103936942304;56;106.53124551796978;-0.16371028248245315
190;2015-12-01;2015;12;-0.0005763667056467969;-0.057636670564679686;56;106.46986214630726;-0.27336551029009104
191;2016-01-01;2016;1;0.0004020378848477309;0.04020378848477309;56;106.51267567023721;-0.21228121202575992
192;2016-02-01;2016;2;0.0038364014036988275;0.38364014036988275;56;106.92208587749647;-0.06827220425438758
193;2016-03-01;2016;3;0.006844927990564201;0.68449279905642;56;107.65647039314908;-0.06786792921403455
194;2016-04-01;2016;4;-0.0034927213795979692;-0.34927213795979695;56;107.28111222968212;-0.1039608376565762
195;2016-05-01;2016;5;-0.007608052106844188;-0.7608052106844188;56;106.46800892594102;-0.13119797756746057
196;2016-06-01;2016;6;-0.002877284264493459;-0.28772842644934593;56;106.162110488605;0.1387179411141188
197;2016-07-01;2016;7;0.008367621523680365;0.8367621523680365;56;107.05416181838532;0.15711588571239007
198;2016-08-01;2016;8;-0.0036656325662676684;-0.36656325662676686;56;106.6624589544612;0.1639052513866785
199;2016-09-01;2016;9;-0.0021741559812867212;-0.21741559812867212;56;106.43081004302925;0.16382328207395594
200;2016-10-01;2016;10;-0.003773429169807286;-0.3773429169807286;56;106.02995768946538;0.09776404704243781
201;2016-11-01;2016;11;0.021362806304847225;2.1362806304847224;56;108.31942276809899;0.08901290566420002
202;2016-12-01;2016;12;0.0016313866461457566;0.16313866461457566;56;108.49627784820524;0.14687559660071905
203;2017-01-01;2017;1;0.0012167617657623388;0.12167617657623388;56;108.62837231827152;0.2046189456405431
204;2017-02-01;2017;2;0.003826565086172122;0.38265650861721223;56;109.04484217146882;0.18094161723640032
205;2017-03-01;2017;3;-0.0010821802132179766;-0.10821802132179766;56;108.9268998298619;0.2881759601299044
206;2017-04-01;2017;4;-0.004542858344986504;-0.4542858344986504;56;108.4331826466821;0.29900551025749644
207;2017-05-01;2017;5;-0.0006645291944619029;-0.06645291944619029;56;108.3611495678577;0.3517217513337662
208;2017-06-01;2017;6;0.004051917620285426;0.40519176202854257;56;108.80111076045895;0.15918661602361828
209;2017-07-01;2017;7;0.005526342115183232;0.5526342115183231;56;109.40404740361917;0.14710947761731075
210;2017-08-01;2017;8;0.009202488580952815;0.9202488580952816;56;110.41548362786627;0.16835886179115675
211;2017-09-01;2017;9;-0.0008746099659756682;-0.08746099659756681;56;110.31895536393132;0.13063371327128712
212;2017-10-01;2017;10;0.0025525197593450773;0.2552519759345077;56;110.60090636699704;0.11638105014189466
