SERIES;INDICE PRODUCCION INDUSTRIAL. FRANCIA. CVEC;INDICE PRODUCCION INDUSTRIAL. ALEMANIA. CVEC;INDICE PRODUCCION INDUSTRIAL. ITALIA. CVEC
199607;932.000.000.000.000.000;743.000.000.000.000.000;1.110.000.000.000.000.000
199608;953.000.000.000.000.000;757.000.000.000.000.000;1.115.000.000.000.000.000
199609;954.000.000.000.000.000;759.000.000.000.000.000;1.099.000.000.000.000.000
199610;944.000.000.000.000.000;750.000.000.000.000.000;1.105.000.000.000.000.000
199611;956.000.000.000.000.000;759.000.000.000.000.000;1.101.000.000.000.000.000
199612;958.000.000.000.000.000;760.000.000.000.000.000;1.096.000.000.000.000.000
199701;949.000.000.000.000.000;755.000.000.000.000.000;1.104.000.000.000.000.000
199702;956.000.000.000.000.000;759.000.000.000.000.000;1.124.000.000.000.000.000
199703;960.000.000.000.000.000;768.000.000.000.000.000;1.130.000.000.000.000.000
199704;995.000.000.000.000.000;764.000.000.000.000.000;1.149.000.000.000.000.000
199705;976.000.000.000.000.000;759.000.000.000.000.000;1.146.000.000.000.000.000
199706;984.000.000.000.000.000;780.000.000.000.000.000;1.157.000.000.000.000.000
199707;986.000.000.000.000.000;789.000.000.000.000.000;1.164.000.000.000.000.000
199708;1.024.000.000.000.000.000;765.000.000.000.000.000;1.171.000.000.000.000.000
199709;1.000.000.000.000.000.000;772.000.000.000.000.000;1.171.000.000.000.000.000
199710;1.025.000.000.000.000.000;783.000.000.000.000.000;1.185.000.000.000.000.000
199711;1.002.000.000.000.000.000;787.000.000.000.000.000;1.179.000.000.000.000.000
199712;1.023.000.000.000.000.000;794.000.000.000.000.000;1.187.000.000.000.000.000
199801;1.022.000.000.000.000.000;799.000.000.000.000.000;1.177.000.000.000.000.000
199802;1.029.000.000.000.000.000;798.000.000.000.000.000;1.177.000.000.000.000.000
199803;1.016.000.000.000.000.000;808.000.000.000.000.000;1.171.000.000.000.000.000
199804;1.030.000.000.000.000.000;804.000.000.000.000.000;1.180.000.000.000.000.000
199805;1.043.000.000.000.000.000;807.000.000.000.000.000;1.179.000.000.000.000.000
199806;1.037.000.000.000.000.000;799.000.000.000.000.000;1.178.000.000.000.000.000
199807;1.044.000.000.000.000.000;819.000.000.000.000.000;1.175.000.000.000.000.000
199808;1.016.000.000.000.000.000;804.000.000.000.000.000;1.157.000.000.000.000.000
199809;1.036.000.000.000.000.000;796.000.000.000.000.000;1.175.000.000.000.000.000
199810;1.037.000.000.000.000.000;800.000.000.000.000.000;1.168.000.000.000.000.000
199811;1.042.000.000.000.000.000;790.000.000.000.000.000;1.165.000.000.000.000.000
199812;1.035.000.000.000.000.000;791.000.000.000.000.000;1.137.000.000.000.000.000
199901;1.038.000.000.000.000.000;805.000.000.000.000.000;1.159.000.000.000.000.000
199902;1.035.000.000.000.000.000;790.000.000.000.000.000;1.154.000.000.000.000.000
199903;1.035.000.000.000.000.000;796.000.000.000.000.000;1.156.000.000.000.000.000
199904;1.043.000.000.000.000.000;803.000.000.000.000.000;1.148.000.000.000.000.000
199905;1.048.000.000.000.000.000;806.000.000.000.000.000;1.141.000.000.000.000.000
199906;1.062.000.000.000.000.000;805.000.000.000.000.000;1.158.000.000.000.000.000
199907;1.065.000.000.000.000.000;811.000.000.000.000.000;1.168.000.000.000.000.000
199908;1.045.000.000.000.000.000;819.000.000.000.000.000;1.175.000.000.000.000.000
199909;1.074.000.000.000.000.000;814.000.000.000.000.000;1.179.000.000.000.000.000
199910;1.087.000.000.000.000.000;824.000.000.000.000.000;1.191.000.000.000.000.000
199911;1.089.000.000.000.000.000;824.000.000.000.000.000;1.198.000.000.000.000.000
199912;1.079.000.000.000.000.000;826.000.000.000.000.000;1.186.000.000.000.000.000
200001;1.088.000.000.000.000.000;819.000.000.000.000.000;1.187.000.000.000.000.000
200002;1.090.000.000.000.000.000;837.000.000.000.000.000;1.194.000.000.000.000.000
200003;1.098.000.000.000.000.000;836.000.000.000.000.000;1.204.000.000.000.000.000
200004;1.105.000.000.000.000.000;848.000.000.000.000.000;1.213.000.000.000.000.000
200005;1.119.000.000.000.000.000;868.000.000.000.000.000;1.220.000.000.000.000.000
200006;1.104.000.000.000.000.000;843.000.000.000.000.000;1.218.000.000.000.000.000
200007;1.117.000.000.000.000.000;864.000.000.000.000.000;1.210.000.000.000.000.000
200008;1.106.000.000.000.000.000;869.000.000.000.000.000;1.220.000.000.000.000.000
200009;1.110.000.000.000.000.000;870.000.000.000.000.000;1.219.000.000.000.000.000
200010;1.122.000.000.000.000.000;867.000.000.000.000.000;1.224.000.000.000.000.000
200011;1.121.000.000.000.000.000;871.000.000.000.000.000;1.240.000.000.000.000.000
200012;1.132.000.000.000.000.000;875.000.000.000.000.000;1.255.000.000.000.000.000
200101;1.125.000.000.000.000.000;872.000.000.000.000.000;1.222.000.000.000.000.000
200102;1.132.000.000.000.000.000;882.000.000.000.000.000;1.215.000.000.000.000.000
200103;1.138.000.000.000.000.000;871.000.000.000.000.000;1.216.000.000.000.000.000
200104;1.119.000.000.000.000.000;860.000.000.000.000.000;1.201.000.000.000.000.000
200105;1.128.000.000.000.000.000;868.000.000.000.000.000;1.202.000.000.000.000.000
200106;1.129.000.000.000.000.000;867.000.000.000.000.000;1.205.000.000.000.000.000
200107;1.112.000.000.000.000.000;845.000.000.000.000.000;1.181.000.000.000.000.000
200108;1.141.000.000.000.000.000;868.000.000.000.000.000;1.202.000.000.000.000.000
200109;1.124.000.000.000.000.000;856.000.000.000.000.000;1.184.000.000.000.000.000
200110;1.116.000.000.000.000.000;840.000.000.000.000.000;1.176.000.000.000.000.000
200111;1.103.000.000.000.000.000;832.000.000.000.000.000;1.159.000.000.000.000.000
200112;1.108.000.000.000.000.000;841.000.000.000.000.000;1.175.000.000.000.000.000
200201;1.108.000.000.000.000.000;839.000.000.000.000.000;1.167.000.000.000.000.000
200202;1.113.000.000.000.000.000;841.000.000.000.000.000;1.180.000.000.000.000.000
200203;1.118.000.000.000.000.000;846.000.000.000.000.000;1.188.000.000.000.000.000
200204;1.125.000.000.000.000.000;848.000.000.000.000.000;1.151.000.000.000.000.000
200205;1.116.000.000.000.000.000;841.000.000.000.000.000;1.193.000.000.000.000.000
200206;1.115.000.000.000.000.000;858.000.000.000.000.000;1.182.000.000.000.000.000
200207;1.105.000.000.000.000.000;845.000.000.000.000.000;1.175.000.000.000.000.000
200208;1.124.000.000.000.000.000;863.000.000.000.000.000;1.160.000.000.000.000.000
200209;1.111.000.000.000.000.000;855.000.000.000.000.000;1.185.000.000.000.000.000
200210;1.102.000.000.000.000.000;848.000.000.000.000.000;1.169.000.000.000.000.000
200211;1.112.000.000.000.000.000;859.000.000.000.000.000;1.191.000.000.000.000.000
200212;1.086.000.000.000.000.000;845.000.000.000.000.000;1.179.000.000.000.000.000
200301;1.108.000.000.000.000.000;853.000.000.000.000.000;1.190.000.000.000.000.000
200302;1.119.000.000.000.000.000;856.000.000.000.000.000;1.167.000.000.000.000.000
200303;1.109.000.000.000.000.000;856.000.000.000.000.000;1.168.000.000.000.000.000
200304;1.110.000.000.000.000.000;853.000.000.000.000.000;1.185.000.000.000.000.000
