;brazil_external_index_dfmq
2000-05-01;110.10825668560828
2000-06-01;107.85147517646635
2000-07-01;102.97442774978161
2000-08-01;104.83604719549108
2000-09-01;103.39315422025938
2000-10-01;111.84390819606016
2000-11-01;117.39054890682576
2000-12-01;125.68146702659789
2001-01-01;112.20978464219468
2001-02-01;95.46264683848997
2001-03-01;89.30240840010833
2001-04-01;100.21206530246883
2001-05-01;101.03456437026541
2001-06-01;101.63142238059294
2001-07-01;97.88341227932794
2001-08-01;103.85314303512614
2001-09-01;111.40884167649178
2001-10-01;115.4946098733898
2001-11-01;107.59062204380143
2001-12-01;91.40875903241741
2002-01-01;83.92509185846701
2002-02-01;93.3506662491498
2002-03-01;90.53127154683912
2002-04-01;90.32908918749911
2002-05-01;89.54085448067458
2002-06-01;106.76539892908387
2002-07-01;122.09916569216865
2002-08-01;127.64615735195181
2002-09-01;118.85626860912883
2002-10-01;113.31388258242548
2002-11-01;98.8634032799674
2002-12-01;91.43588607376324
2003-01-01;75.71200264195208
2003-02-01;88.15437246747139
2003-03-01;91.07072050356716
2003-04-01;88.3480402833398
2003-05-01;82.40101562076882
2003-06-01;83.32309035031162
2003-07-01;88.73976908144188
2003-08-01;92.09782772848865
2003-09-01;90.45267005883308
2003-10-01;90.92203738568804
2003-11-01;88.26878889377343
2003-12-01;89.50230527623901
2004-01-01;90.5666925038646
2004-02-01;96.65956726477994
2004-03-01;101.44251844839188
2004-04-01;100.52327313481521
2004-05-01;100.14607712261298
2004-06-01;96.92072687806244
2004-07-01;100.55728510391009
2004-08-01;98.5479476456259
2004-09-01;98.28964135517329
2004-10-01;97.4015470329361
2004-11-01;92.36325818161068
2004-12-01;92.53702815454879
2005-01-01;95.02953069713595
2005-02-01;97.86015937013201
2005-03-01;99.08158530709144
2005-04-01;105.96050705387889
2005-05-01;111.91160571274392
2005-06-01;109.35398571456716
2005-07-01;97.38026038570133
2005-08-01;91.75132198777668
2005-09-01;97.60640989025936
2005-10-01;101.126097499954
2005-11-01;102.68155614328869
2005-12-01;100.40803664659312
2006-01-01;99.91638354804583
2006-02-01;97.38271634668689
2006-03-01;96.19547337840429
2006-04-01;95.32835041497458
2006-05-01;97.082013555695
2006-06-01;100.51431819153338
2006-07-01;103.30336373867196
2006-08-01;104.19758735778083
2006-09-01;101.69799687131652
2006-10-01;99.05610894281702
2006-11-01;97.4643408550802
2006-12-01;95.90608105479409
2007-01-01;95.41717582645667
2007-02-01;95.06646377923714
2007-03-01;98.89792497601071
2007-04-01;99.94677183382791
2007-05-01;99.67917328095112
2007-06-01;97.77393429205239
2007-07-01;106.2757501496101
2007-08-01;117.55768681259882
2007-09-01;118.22668997480478
2007-10-01;108.30931962991906
2007-11-01;110.17862268320623
2007-12-01;112.8243413453589
2008-01-01;126.07261592089732
2008-02-01;119.45732820403288
2008-03-01;124.05871145581347
2008-04-01;106.49829755102567
2008-05-01;94.67037926017215
2008-06-01;86.73345327154924
2008-07-01;103.7569914668144
2008-08-01;115.2673819288173
2008-09-01;124.69378766961768
2008-10-01;171.70686068871393
2008-11-01;197.21420835078888
2008-12-01;210.39490535559224
2009-01-01;118.61579038308159
2009-02-01;86.11197638512776
2009-03-01;75.95859737739598
2009-04-01;88.62733020302443
2009-05-01;60.17673312843473
2009-06-01;30.37529266919492
2009-07-01;47.03083877407098
2009-08-01;65.0979744141219
2009-09-01;76.83116127067225
2009-10-01;75.32320387022313
2009-11-01;86.2134742040781
2009-12-01;84.98308999098089
2010-01-01;85.01459715049715
2010-02-01;91.96359256150176
2010-03-01;92.3106830179002
2010-04-01;93.94850365587162
2010-05-01;97.94611220947412
2010-06-01;109.1194269986073
2010-07-01;111.93607323620193
2010-08-01;102.76619810707771
2010-09-01;94.31809947068207
2010-10-01;92.57354659697326
2010-11-01;91.45181715469076
2010-12-01;91.57682657467217
2011-01-01;91.43666268349136
2011-02-01;88.15123535044847
2011-03-01;93.12274126708716
2011-04-01;95.6435123160876
2011-05-01;102.11095719572504
2011-06-01;106.72321557560997
2011-07-01;107.90909909930153
2011-08-01;121.5271744129246
2011-09-01;121.95280411201989
2011-10-01;124.80459966254314
2011-11-01;106.35807463658428
2011-12-01;98.58919659877017
2012-01-01;89.70955453609868
2012-02-01;86.69528677067265
2012-03-01;84.85692907556333
2012-04-01;93.11894487937278
2012-05-01;100.91614732394837
2012-06-01;108.2559629036373
2012-07-01;102.42653162352056
2012-08-01;96.3489156234443
2012-09-01;88.70902662035017
2012-10-01;91.63787487550829
2012-11-01;98.0991533078165
2012-12-01;97.44915355869996
2013-01-01;94.6862841326423
2013-02-01;93.11127886004313
2013-03-01;94.9955835163741
2013-04-01;98.54902031357626
2013-05-01;94.12832814890271
2013-06-01;102.73058347035607
2013-07-01;100.75234112598258
2013-08-01;103.92853671731083
2013-09-01;96.10456697439975
2013-10-01;97.61670786481501
2013-11-01;95.95099213397901
2013-12-01;94.64883150091373
2014-01-01;94.41339813232909
2014-02-01;97.33681915540389
2014-03-01;97.50985815588825
2014-04-01;97.59379135847357
2014-05-01;97.44331503519315
2014-06-01;96.89651549823553
2014-07-01;99.72496442148213
2014-08-01;102.43472921434469
2014-09-01;106.07275444389609
2014-10-01;108.78583172398994
2014-11-01;105.06271400796484
2014-12-01;110.2585873511735
2015-01-01;107.92757088813867
2015-02-01;102.75348789834692
2015-03-01;96.21010941184527
2015-04-01;93.73740044044148
2015-05-01;98.21219799834367
2015-06-01;100.18400058621432
2015-07-01;104.90925263566719
2015-08-01;111.64874226555858
2015-09-01;112.2358812552026
2015-10-01;111.07214654396074
2015-11-01;104.98732188944209
2015-12-01;110.27518364881514
2016-01-01;114.14956466779245
2016-02-01;120.97897210916275
2016-03-01;101.2594195500381
2016-04-01;90.5067399010279
2016-05-01;80.71657317009216
2016-06-01;91.49742931254025
2016-07-01;90.58913332827379
2016-08-01;90.68121562686503
2016-09-01;90.7028553452618
2016-10-01;91.16284254771925
2016-11-01;96.13523584090453
2016-12-01;91.5890693025719
2017-01-01;93.08751803316174
2017-02-01;89.93678906386774
2017-03-01;96.4692348566806
2017-04-01;99.20474813784453
2017-05-01;99.1405099785923
2017-06-01;98.76626644990814
2017-07-01;98.00413433570239
2017-08-01;101.12445891374156
2017-09-01;99.9113555500562
2017-10-01;98.24581430427271
2017-11-01;98.71564985526851
2017-12-01;99.04449407110182
2018-01-01;98.91179506072754
2018-02-01;98.83753372915643
2018-03-01;100.65774960470846
2018-04-01;101.35191236008961
2018-05-01;99.49985945601522
2018-06-01;98.32371593362286
2018-07-01;101.38499738802855
2018-08-01;100.0697245457466
2018-09-01;99.13316435326846
2018-10-01;99.52677794948998
2018-11-01;105.84092271382544
2018-12-01;114.63578657717531
2019-01-01;111.02442103014025
2019-02-01;101.33075436926946
2019-03-01;92.46886630024521
2019-04-01;92.03877707946185
2019-05-01;99.59039503345527
2019-06-01;102.2558838688924
2019-07-01;102.38266911708173
2019-08-01;102.51650403673472
2019-09-01;97.54900927305972
2019-10-01;101.2292725928717
2019-11-01;97.7832761109884
2019-12-01;97.93420514518466
2020-01-01;95.28450906359296
2020-02-01;99.00651269802026
2020-03-01;141.37402547154562
2020-04-01;145.21046792980184
2020-05-01;133.67038696730054
2020-06-01;82.490990910184
2020-07-01;76.11774626029897
2020-08-01;78.72123883104739
2020-09-01;92.20127078842974
2020-10-01;93.79046017853241
2020-11-01;94.27298486387582
2020-12-01;88.11778373318856
2021-01-01;87.64001339781169
2021-02-01;90.29857230767618
2021-03-01;95.31122763162804
2021-04-01;95.09269935679258
2021-05-01;98.30812029558402
2021-06-01;96.52527333972513
2021-07-01;99.27360595064367
2021-08-01;100.1080910859213
2021-09-01;99.66459554354809
2021-10-01;99.99088283738372
2021-11-01;99.26762094207453
2021-12-01;101.6517365741325
2022-01-01;100.98095302663396
2022-02-01;104.40995664273237
2022-03-01;105.46496174141369
2022-04-01;104.47545459027724
2022-05-01;108.58444736626005
2022-06-01;110.96919205368472
2022-07-01;116.59538308290355
2022-08-01;100.627262623343
2022-09-01;101.37322134065411
2022-10-01;97.21907227244044
2022-11-01;101.71076511775446
2022-12-01;96.22796064442757
2023-01-01;93.91742753558198
2023-02-01;95.49727564040293
2023-03-01;101.30378278986583
2023-04-01;102.34351110031061
2023-05-01;105.07123345671576
2023-06-01;96.28539412912342
2023-07-01;93.88510351696934
2023-08-01;92.42420830368111
2023-09-01;96.20196766615761
2023-10-01;104.3739180209632
2023-11-01;101.05032936807102
2023-12-01;97.01590858837416
2024-01-01;92.15886557698705
2024-02-01;94.01154782270557
2024-03-01;96.38086307159169
2024-04-01;97.09384087967042
2024-05-01;97.81380779599525
2024-06-01;100.44087860506048
2024-07-01;99.51807109990254
2024-08-01;102.70617217964536
2024-09-01;100.8108686510744
2024-10-01;97.99909287837652
2024-11-01;98.80378176790025
2024-12-01;99.19991171460808
