;date;year;month;ctot_log_change;ctot_pct_gdp;n_commodities;ctot_level;ctot_12m_avg
28;2002-06-01;2002;6;0.0001782231085121541;0.01782231085121541;53;99.66054622819462;-0.010069768942404042
29;2002-07-01;2002;7;0.0003494085446054582;0.034940854460545824;53;99.69537455891061;-0.015466258155310499
30;2002-08-01;2002;8;-0.0005013206861983696;-0.05013206861983696;53;99.64540773107464;-0.011701217729123423
31;2002-09-01;2002;9;0.0002777667653129518;0.027776676531295178;53;99.67308975805396;-0.016950289995000967
32;2002-10-01;2002;10;0.0002562498322620833;0.02562498322620833;53;99.69863424333076;-0.010698103575542283
33;2002-11-01;2002;11;0.0009470020169847236;0.09470020169847236;53;99.79309377067189;0.007973779502799117
34;2002-12-01;2002;12;-0.00102922257964166;-0.102922257964166;53;99.69043730251029;0.009100195672224436
35;2003-01-01;2003;1;2.7900547397792202e-05;0.0027900547397792202;53;99.69321875908327;0.0020580426444720655
36;2003-02-01;2003;2;-0.0009928778223338456;-0.09928778223338457;54;99.59428469598633;-0.0010707619119312796
37;2003-03-01;2003;3;-7.684646946150356e-05;-0.007684646946150356;54;99.58663152089242;3.7237110770054156e-05
38;2003-04-01;2003;4;0.0015893242572889053;0.15893242572889052;54;99.7450328122348;0.002014738085981825
39;2003-05-01;2003;5;6.641596593824285e-05;0.006641596593824285;54;99.75165769493312;-0.00616711945599781
40;2003-06-01;2003;6;-0.0006668352548181303;-0.06668352548181303;54;99.68516194617442;-0.014910725788609414
41;2003-07-01;2003;7;-2.6048002162943156e-05;-0.002604800216294316;54;99.68256538067824;-0.009503208055400475
42;2003-08-01;2003;8;-0.0003683608034742096;-0.03683608034742096;54;99.6458529929197;0.0022810073750820204
43;2003-09-01;2003;9;0.0005150668823383643;0.051506688233836424;54;99.6971904917465;0.015593587909272849
44;2003-10-01;2003;10;-0.0007255730727754729;-0.07255730727754729;54;99.62487913165458;0.01565244089860249
45;2003-11-01;2003;11;-0.0001022307429286688;-0.010223074292866879;54;99.61469492682505;-0.00038801210159613843
46;2003-12-01;2003;12;-0.00038032045165658726;-0.03803204516565872;54;99.57681662446196;-0.002297935960214651
47;2004-01-01;2004;1;0.0014420063990556917;0.14420063990556917;54;99.7205106101559;0.009098766702502207
48;2004-02-01;2004;2;0.0006046318417690539;0.06046318417690539;54;99.78082303771792;0.005793518845885362
49;2004-03-01;2004;3;-6.978411074194659e-05;-0.0069784110741946586;54;99.77386016466492;0.00268292763465644
50;2004-04-01;2004;4;-0.0003355301027349304;-0.033553010273493035;54;99.74038864677854;0.005218921880475701
51;2004-05-01;2004;5;-0.00016277489709597866;-0.016277489709597866;54;99.72415473655263;0.003083987212545349
52;2004-06-01;2004;6;0.0007007690647078926;0.07007690647078926;54;99.79406283105028;0.007248989439117494
53;2004-07-01;2004;7;-0.0004226777449569647;-0.04226777449569647;54;99.75189101478472;0.018774836926432368
54;2004-08-01;2004;8;-0.00074163174882168;-0.074163174882168;54;99.67793927127315;0.04902035441874444
55;2004-09-01;2004;9;0.0008193861918366754;0.08193861918366754;54;99.75964746905575;0.04829722377644405
56;2004-10-01;2004;10;-0.0009817652329271152;-0.09817652329271152;54;99.66175497710707;0.05384611899228379
57;2004-11-01;2004;11;0.0003975695242599887;0.039756952425998866;54;99.7013853310087;0.0469673952435787
58;2004-12-01;2004;12;0.0010027812468211977;0.10027812468211977;54;99.8014141556333;0.05000799767135145
59;2005-01-01;2005;1;0.00507146849813314;0.5071468498133139;54;100.30883949182414;0.03398904741191115
60;2005-02-01;2005;2;0.0005178561646930076;0.051785616469300765;54;100.36079849521211;0.029582882486051187
61;2005-03-01;2005;3;0.0005960833151588224;0.05960833151588224;54;100.4206397260989;0.031063666914365795
62;2005-04-01;2005;4;-0.0011609769525795406;-0.11609769525795406;54;100.30412132848832;0.017549009030244384
63;2005-05-01;2005;5;0.00020209739423675195;0.020209739423675196;54;100.32439457855651;0.03306356048719685
64;2005-06-01;2005;6;-0.0012215049664249444;-0.12215049664249444;54;100.2019226475893;0.037786052866510746
65;2005-07-01;2005;7;-0.0009514175360601603;-0.09514175360601604;54;100.10663411801232;0.029218098962955918
66;2005-08-01;2005;8;-0.0005639376174239268;-0.05639376174239268;54;100.05019613652564;0.0067400594811103665
67;2005-09-01;2005;9;-0.0008023727542578945;-0.08023727542578946;54;99.96995078273547;0.006688739897280071
68;2005-10-01;2005;10;0.0008799809419071814;0.08799809419071813;54;100.05796115223224;-0.0035968657125673895
69;2005-11-01;2005;11;0.000964268609777656;0.0964268609777656;55;100.15449043592926;-0.0004933516343698837
70;2005-12-01;2005;12;-2.537322160538138e-05;-0.002537322160538138;55;100.15194922608815;0.002156740171003148
71;2006-01-01;2006;1;0.0023741037603116732;0.23741037603116733;55;100.39000281549608;0.009872925092104563
72;2006-02-01;2006;2;0.0005116978146333721;0.05116978146333721;55;100.4413853055806;0.0185590976377126
73;2006-03-01;2006;3;-0.0006381893580228727;-0.06381893580228727;55;100.37730513219078;0.02472317762946623
74;2006-04-01;2006;4;-0.0007885552631958399;-0.078855526319584;55;100.29818327999982;0.03734848452234877
75;2006-05-01;2006;5;0.0005201084108815158;0.05201084108815158;55;100.35036277704125;0.03738216622031179
76;2006-06-01;2006;6;-0.0002955627758927748;-0.02955627758927748;55;100.32070732799635;0.03577887570394674
77;2006-07-01;2006;7;9.092316941280422e-05;0.009092316941280421;55;100.3298292193537;0.03787385832716639
78;2006-08-01;2006;8;0.0001757519815865089;0.01757519815865089;55;100.34746393527396;0.02692164031431325
79;2006-09-01;2006;9;0.0007126640728880099;0.07126640728880099;55;100.41900345642148;0.018404380760608238
80;2006-10-01;2006;10;0.0008840227456627438;0.08840227456627438;55;100.50781538967442;0.013874742176510295
81;2006-11-01;2006;11;0.0007718737478138502;0.07718737478138502;55;100.58542468225838;0.01299588177772521
82;2006-12-01;2006;12;0.00022602469318097607;0.022602469318097607;55;100.6081620415162;0.009199634769002029
